Name,Year,Manufacturer,State,Color,Fuel type,Transmission,Engine,VIN,Mileage,Price
RDX Technology Package,2017,Acura,MD,White,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5J8TB4H56HL001048,"46,735 mi.","$27,991"
RS 5 2.9T,2019,Audi,OR,Daytona Gray Pearl Effect,Gasoline ,8-Speed Automatic,2.9L V6 24V GDI DOHC Twin Turbo,WUABWCF53KA901343,"12,141 mi.","$76,648"
Corvette Stingray w/2LT,2021,Chevrolet,AZ,Torch Red,Gasoline ,8-Speed Automatic with Auto-Shift,6.2L V8 16V GDI OHV,1G1YB3D40M5108552,"3,717 mi.","$114,000"
Corvette Stingray w/2LT,2021,Chevrolet,AZ,Red,Gasoline ,8-Speed Automatic with Auto-Shift,6.2L V8 16V GDI OHV,1G1YB2D42M5120180,"1,274 mi.","$109,991"
Camry SE,2021,Toyota,FL,Predawn Gray Mica,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC,4T1G11AK3MU514047,"10,072 mi.","$26,999"
A6 3.0T Premium Plus,2016,Audi,IL,Mythos Black Metallic,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,WAUFGAFC0GN111395,"87,019 mi.","$22,987"
Compass Trailhawk,2020,Jeep,CO,Redline Pearlcoat,Gasoline ,9-Speed Automatic,2.4L I4 16V MPFI SOHC,3C4NJDDB9LT195464,"47,270 mi.","$24,469"
C-Class C 300 4MATIC,2018,Mercedes-Benz,MO,Iridium Silver Metallic,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WDDWF4KBXJR412590,"23,963 mi.","$35,750"
Mazda3 i Sport,2016,Mazda,FL,Jet Black Mica,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC,3MZBM1T72GM310036,"69,737 mi.","$11,994"
Grand Cherokee Limited,2018,Jeep,FL,Granite Crystal Clearcoat Metallic,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJEBG6JC110661,"49,527 mi.","$25,984"
GX 460 Base,2020,Lexus,CT,Starfire Pearl,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC,JTJAM7BX3L5247741,"29,498 mi.","$52,000"
Grand Cherokee Altitude,2020,Jeep,MO,Sting Gray Clearcoat,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFAGXLC104243,"66,508 mi.","$38,900"
E-Class E 350 4MATIC,2014,Mercedes-Benz,IL,Iridium Silver Metallic,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC,WDDHF8JB9EA894605,"55,707 mi.","$22,889"
LS 460 L,2014,Lexus,VA,Starfire Pearl,Gasoline ,8-Speed Automatic,4.6L V8 32V PDI DOHC,JTHDL5EFXE5006514,"62,769 mi.","$33,895"
Grand Cherokee Limited,2018,Jeep,FL,Granite Crystal Clearcoat Metallic,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBG4JC333237,"16,873 mi.","$32,999"
S4 3.0T Premium Plus,2019,Audi,MA,Glacier White Metallic,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WAUB4AF49KA027382,"19,324 mi.","$40,995"
M4 Base,2015,BMW,NC,Black Sapphire Metallic,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Twin Turbo,WBS3R9C5XFK334055,"62,495 mi.","$43,995"
CR-V EX-L,2017,Honda,MO,White Diamond Pearl,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RW2H80HL021060,"70,288 mi.","$25,236"
GLE 350 Base 4MATIC,2017,Mercedes-Benz,CA,White,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC,4JGDA5HB3HA974137,"24,380 mi.","$35,990"
Sierra 1500 Denali,2018,GMC,AL,Black,Gasoline ,8-Speed Automatic,5.3L V8 16V GDI OHV,3GTU2PEC5JG321939,"53,734 mi.","$46,871"
GX 460 Luxury,2016,Lexus,IL,Starfire Pearl,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC,JTJJM7FX7G5134195,"53,898 mi.","$38,995"
Grand Cherokee Limited,2019,Jeep,NY,Slate Blue Pearlcoat,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBG4KC787196,"15,102 mi.","$34,990"
SL-Class SL500,2005,Mercedes-Benz,MD,Black,Gasoline ,7-speed automatic driver-adaptive transmission-inc,5.0L SOHC SMPI 24-valve V8 engine,WDBSK75F95F102702,"96,745 mi.","$16,900"
Camaro SS,2020,Chevrolet,FL,Shock,Gasoline ,6-Speed Manual,6.2L V8 16V GDI OHV,1G1FE1R76L0138091,"14,886 mi.","$43,521"
Camaro ZL1,2018,Chevrolet,FL,Hyper Blue Metallic,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV Supercharged,1G1FK1R65J0145370,"24,448 mi.","$58,418"
GS 350 Base,2018,Lexus,TX,–,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,JTHBZ1BL6JA014328,"10,531 mi.","$42,998"
Rover Range Rover Sport Supercharged HSE,2016,Land,TX,Tan,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,SALWR2PF4GA595812,"45,404 mi.","$44,952"
RX 350,2018,Lexus,GA,Eminent White Pearl,Gasoline ,8-Speed Automatic,3.5L V6 24V GDI DOHC,2T2ZZMCA5JC112417,"10,970 mi.","$45,949"
S5 3.0T Premium Plus,2019,Audi,NH,Mythos Black Metallic,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WAUB4CF52KA079277,"24,385 mi.","$55,587"
XC60 T5 Momentum,2018,Volvo,UT,Onyx Black Metallic,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,LYV102RKXJB106738,"19,029 mi.","$37,739"
AMG G 63 Base,2020,Mercedes-Benz,FL,Black,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,WDCYC7HJ2LX336481,"14,980 mi.","$243,500"
Journey R/T,2016,Dodge,CO,Granite Crystal Clearcoat Metallic,Gasoline ,Automatic,3.6L V6 24V MPFI DOHC,3C4PDDEG8GT242953,"50,137 mi.","$19,997"
Civic LX,2019,Honda,WA,Modern Steel Metallic,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC,19XFC2F69KE207103,"16,272 mi.","$19,247"
Sierra 1500 Denali,2018,GMC,AL,Silver,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV,3GTU2PEJXJG559719,"92,648 mi.","$45,483"
Model X Long Range,2020,Tesla,FL,Pearl White Multi,Electric ,1-Speed Automatic,Electric,5YJXCDE24LF300105,"16,360 mi.","$95,988"
X5 xDrive35i,2016,BMW,NJ,Black Sapphire Metallic,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXKR0C54G0P28175,"68,410 mi.","$28,970"
GranTurismo,2008,Maserati,NJ,Grigio Touring Metallic,Gasoline ,6-Speed Automatic,4.2L V8 32V MPFI DOHC,ZAMGJ45A080035343,"56,134 mi.","$26,889"
CX-9 Grand Touring,2021,Mazda,MN,Snowflake White Pearl Mica,Gasoline ,Automatic,Intercooled Turbo Regular Unleaded I-4 2.5 L/152,JM3TCBDY5M0505447,"10,535 mi.","$39,998"
S80 2.5T,2004,Volvo,KY,Ash Gold Metallic,Gasoline ,5-Speed Automatic,2.5L I5 20V MPFI DOHC Turbo,YV1TS59H341366154,"36,815 mi.","$9,995"
S5 3.0T Prestige,2018,Audi,CA,Ibis White,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WAUC4CF52JA011662,"49,779 mi.","$45,503"
Elantra SEL,2020,Hyundai,TX,Stellar Silver,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC,KMHD84LF5LU044036,"10,973 mi.","$19,739"
RAV4 Limited,2018,Toyota,NC,Magnetic Gray Metallic,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC,JTMYFREV1JJ159549,"68,577 mi.","$26,900"
Corolla LE,2020,Toyota,VA,White,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC,JTDEPRAE7LJ021071,"47,510 mi.","$18,299"
Mustang EcoBoost Premium,2017,Ford,FL,Black,Gasoline ,6-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FATP8UH0H5207631,"53,470 mi.","$18,400"
330 i,2018,BMW,CA,Mineral Gray Metallic,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA8B9C59JEE81413,"23,116 mi.","$33,980"
Escalade Luxury,2018,Cadillac,OH,Black Raven,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV,1GYS4BKJ0JR395545,"42,120 mi.","$55,696"
740 i,2019,BMW,TX,Imperial Blue Metallic,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA7E2C57KB217049,"42,296 mi.","$48,880"
Tahoe LTZ,2016,Chevrolet,CT,Silver Ice Metallic,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKCKC9GR231259,"53,815 mi.","$48,845"
CX-5 Touring,2019,Mazda,NC,Jet Black Mica,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBCM8K0601541,"26,100 mi.","$28,311"
Grand Cherokee Overland,2017,Jeep,OH,Diamond Black,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFCG9HC647121,"46,995 mi.","$32,554"
4Runner Limited,2016,Toyota,IL,Blizzard Pearl,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEBU5JR5G5404153,"16,336 mi.","$41,780"
Insight Touring,2019,Honda,MO,Lunar Silver Metallic,Hybrid ,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,19XZE4F94KE034782,"4,489 mi.","$27,950"
Corvette Stingray w/2LT,2021,Chevrolet,AZ,Black,Gasoline ,8-Speed Automatic with Auto-Shift,6.2L V8 16V GDI OHV,1G1YB2D47M5105206,"2,711 mi.","$110,000"
GX 460 Base,2018,Lexus,TX,Nightfall Mica,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC,JTJBM7FX7J5208002,"27,173 mi.","$48,950"
GLS 450 Base 4MATIC,2017,Mercedes-Benz,NJ,Lunar Blue Metallic,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,4JGDF6EEXHA806775,"48,117 mi.","$43,599"
Edge Titanium,2018,Ford,MN,Burgundy Velvet Metallic Tinted Clearcoat,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,2FMPK4K80JBB15213,"20,100 mi.","$34,977"
Accord Sport,2019,Honda,FL,Still Night Pearl,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F38KA066042,"14,170 mi.","$25,204"
TLX Technology,2018,Acura,NY,Gray,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC,19UUB1F52JA000714,"36,287 mi.","$22,992"
C-Class C 300 4MATIC,2018,Mercedes-Benz,IL,Black,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55SWF4KB0JU249432,"42,168 mi.","$34,799"
Aviator Reserve AWD,2020,Lincoln,WI,Magnetic Gray,Gasoline ,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,5LM5J7XCXLGL18143,"4,184 mi.","$62,499"
X3 xDrive30i,2019,BMW,MO,Dark Graphite,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXTR9C55KLP82651,"30,307 mi.","$38,717"
RX 350 Base,2015,Lexus,CA,Starfire Pearl,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,2T2ZK1BA9FC181610,"66,584 mi.","$27,979"
Camry SE,2021,Toyota,VA,Silver,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC,4T1G11AK4MU406231,"10,322 mi.","$24,966"
Grand Cherokee Limited,2018,Jeep,CO,Granite Crystal Clearcoat Metallic,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBG9JC138119,"46,146 mi.","$32,695"
XC60 T5 Momentum,2018,Volvo,UT,Crystal White Metallic,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,LYV102RK2JB106054,"36,027 mi.","$35,139"
Grand Cherokee Limited,2020,Jeep,TN,Black,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C4RJFBT2LC360338,"12,417 mi.","$49,775"
Q50 3.0t LUXE,2018,INFINITI,NY,Black,Gasoline ,7-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,JN1EV7AR2JM435211,"37,851 mi.","$23,995"
A7 3.0 TDI Premium Plus,2016,Audi,VA,Black,Diesel ,8-Speed Automatic,3.0L V6 24V DDI DOHC Turbo Diesel,WAU2MAFC9GN001288,"93,640 mi.","$29,288"
4Runner Limited,2019,Toyota,IL,Midnight Black Metallic,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEBU5JR1K5632319,"18,532 mi.","$43,000"
430 Gran Coupe i,2018,BMW,FL,Black Sapphire Metallic,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA4J1C5XJBG78983,"32,744 mi.","$30,041"
RAV4 LE,2018,Toyota,NY,Black,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC,2T3BFREV4JW845740,"23,166 mi.","$20,988"
Expedition Max Limited,2020,Ford,TX,Agate Black,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FMJK1KT6LEA19859,"62,779 mi.","$50,391"
Flex SEL,2019,Ford,CO,Magnetic,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,2FMHK6C83KBA28826,"15,713 mi.","$33,393"
AMG C 43 Base 4MATIC,2017,Mercedes-Benz,VA,Gray,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,WDDWJ6EB5HF534372,"38,130 mi.","$36,995"
M850 Gran Coupe i xDrive,2020,BMW,MD,Black Sapphire Metallic,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,WBAGV8C04LBP48766,"11,088 mi.","$92,998"
Jetta 1.4T S,2018,Volkswagen,AZ,Black,Gasoline ,6-Speed Automatic,1.4L I4 16V GDI DOHC Turbo,3VW2B7AJ9JM244440,"29,961 mi.","$16,739"
Palisade SEL,2020,Hyundai,AZ,Becketts Black,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC,KM8R44HE5LU059377,"15,675 mi.","$41,771"
MX-5 Miata Grand Touring,2016,Mazda,PA,Ceramic,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC,JM1NDAD79G0105993,"17,450 mi.","$27,198"
Q50 3.0t Sport,2019,INFINITI,FL,Liquid Platinum,Gasoline ,7-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,JN1EV7AP1KM510237,"24,300 mi.","$36,495"
CX-9 Grand Touring,2019,Mazda,SC,Snowflake White Pearl Mica,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,JM3TCADYXK0310743,"49,641 mi.","$34,560"
Odyssey EX-L,2018,Honda,IL,Crystal Black Pearl,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H76JB039844,"22,067 mi.","$34,995"
Continental Flying Spur,2013,Bentley,VA,Gray,E85 Flex Fuel ,6-Speed Automatic,6.0L W12 48V MPFI DOHC Twin Turbo Flexible Fuel,SCBBR9ZA9DC079058,"58,809 mi.","$66,995"
Q5 45 Premium,2021,Audi,WA,Mythos Black Metallic,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1CAAFY3M2015996,"2,769 mi.","$55,300"
ES 350 Base,2018,Lexus,IL,Eminent White Pearl,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,58ABK1GG4JU101617,"11,500 mi.","$33,990"
IS 300 Base,2020,Lexus,TX,Ultra White,Gasoline ,8-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,JTHGA1D21L5103074,"16,944 mi.","$36,789"
540 i xDrive,2018,BMW,MA,Carbon Black Metallic,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBAJE7C57JG891139,"35,280 mi.","$47,900"
Suburban Premier,2018,Chevrolet,TX,Black,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKJKC5JR274511,"61,915 mi.","$52,991"
Fusion SEL,2020,Ford,OH,Red,Gasoline ,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,3FA6P0CD4LR196037,"43,306 mi.","$22,522"
CX-5 Touring,2019,Mazda,NC,Deep Crystal Blue Mica,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFACM1K0610768,"26,720 mi.","$25,977"
Odyssey Elite,2018,Honda,CA,White,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H9XJB096999,"22,997 mi.","$38,980"
Compass Trailhawk,2020,Jeep,TN,Diamond Black,Gasoline ,9-Speed Automatic,2.4L I4 16V MPFI SOHC,3C4NJDDB5LT177155,"47,900 mi.","$24,239"
540 i xDrive,2019,BMW,MD,Alpine White,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBAJE7C50KWW27588,"12,776 mi.","$49,998"
AMG G 63 Base,2020,Mercedes-Benz,FL,Gray,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,W1NYC7HJ9LX349498,"14,650 mi.","$249,980"
Odyssey Elite,2019,Honda,GA,Crystal Black Pearl,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H90KB014599,"27,389 mi.","$40,998"
QX80 Base,2018,INFINITI,IL,Black Obsidian,Gasoline ,7-Speed Automatic,5.6L V8 32V GDI DOHC,JN8AZ2NC8J9441112,"17,176 mi.","$53,468"
Corolla Hybrid LE,2021,Toyota,UT,Black,Hybrid ,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,JTDEAMDE5MJ000706,"11,409 mi.","$25,948"
Yukon Denali,2012,GMC,VA,Carbon Black Metallic,E85 Flex Fuel ,6-Speed Automatic,6.2L V8 16V MPFI OHV Flexible Fuel,1GKS2EEF7CR228238,"80,309 mi.","$24,500"
Tahoe LT,2019,Chevrolet,TX,Silver Ice Metallic,E85 Flex Fuel ,Automatic,Gas/Ethanol V8 5.3L/,1GNSCBKC0KR191900,"44,152 mi.","$44,499"
Suburban LT,2020,Chevrolet,VA,Satin Steel Metallic,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKHKC3LR278732,"10,895 mi.","$63,250"
Cherokee Limited,2019,Jeep,,Diamond Black,Gasoline ,9-Speed Automatic,3.2L V6 24V MPFI DOHC,1C4PJLDX5KD302884,"17,382 mi.","$28,000"
330 330i,2018,BMW,CA,Jet Black,Gasoline ,Sport Automatic,Engine: 2.0L DOHC 16-Valve 4-Cylinder Turbocharged,WBA8B9G56JNU99746,"24,537 mi.","$21,998"
GX 460 Base,2018,Lexus,VA,Black,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC,JTJBM7FX7J5191556,"25,310 mi.","$44,950"
GLC 300 Base,2018,Mercedes-Benz,TX,Polar White,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WDC0G4JB7JV039315,"29,998 mi.","$33,893"
IS 350 Base,2017,Lexus,IL,White,Gasoline ,6-Speed Automatic,3.5L V6 24V PDI DOHC,JTHCE1D28H5013821,"30,112 mi.","$32,500"
F-TYPE 296HP,2018,Jaguar,TX,Santorini Black,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,SAJDD5GX4JCK53801,"23,517 mi.","$49,980"
GLE 350 Base 4MATIC,2020,Mercedes-Benz,NJ,White,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,4JGFB4KB4LA071304,"13,975 mi.","$66,999"
GS 350,2015,Lexus,FL,Liquid Platinum,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,JTHBE1BL9FA016965,"74,880 mi.","$24,199"
X5 xDrive35i,2018,BMW,VA,Alpine White,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXKR0C50J0X96206,"30,681 mi.","$44,500"
Tiguan 2.0T SE,2018,Volkswagen,FL,Deep Black Pearl Effect,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3VV3B7AX4JM171717,"12,190 mi.","$24,316"
Crosstrek 2.0i Premium,2018,Subaru,MN,Sunshine Orange,Gasoline ,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC5JH287131,"67,572 mi.","$18,898"
F-150 XLT,2019,Ford,NC,Magnetic,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC,1FTEW1E54KFD28195,"43,428 mi.","$41,440"
Aviator Reserve AWD,2020,Lincoln,WI,Infinite Black Metallic,Gasoline ,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,5LM5J7XC2LGL36426,"3,658 mi.","$60,995"
Cherokee Limited,2019,Jeep,,Bright White Clearcoat,Gasoline ,9-Speed Automatic,3.2L V6 24V MPFI DOHC,1C4PJLDX2KD243437,"22,059 mi.","$27,500"
Ranger XLT,2019,Ford,UT,Oxford White,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FTER4FH1KLA51556,"45,441 mi.","$33,789"
RX 350 Base,2013,Lexus,SC,Black,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,2T2ZK1BA6DC125752,"87,250 mi.","$21,350"
NX 300 F Sport,2018,Lexus,CA,Black,Gasoline ,6-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,JTJBARBZ1J2155326,"14,976 mi.","$37,998"
Tiguan 2.0T SE,2021,Volkswagen,IL,Cardinal Red Metallic,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3VV2B7AX9MM109505,"11,855 mi.","$29,640"
330 i,2018,BMW,FL,Mineral Grey Metallic,Gasoline ,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,WBA8B9G55JNU96983,"23,096 mi.","$35,636"
Accord Touring,2018,Honda,CA,Black,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F96JA058122,"22,065 mi.","$28,900"
Accord EX,2019,Honda,,Platinum White Pearl,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F48KA031977,"41,920 mi.","$27,289"
Grand Cherokee Limited,2018,Jeep,FL,Diamond Black,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJEBG9JC472208,"47,069 mi.","$27,453"
